session_id,page_variant,zone,x,y,page_width,page_height,zone_rel_x,zone_rel_y,timestamp_ms
sess_1784060899243_x35gd4d,variant_a,products,453,513,,,0.2978695327824758,0.17955393146537604,1784060903137
sess_1784060899243_x35gd4d,variant_a,cta,745,489,,,0.4333566719560058,0.8842821542614416,1784060905101
sess_1784060899243_x35gd4d,variant_a,products,846,225,,,0.5562861473156171,0.0,1784060906117
sess_1784060899243_x35gd4d,variant_a,nav,1304,32,,,0.8574434232855375,0.4819276997686248,1784060907159
sess_1784060899243_x35gd4d,variant_a,products,769,555,,,0.5056549022289711,0.23564367596950167,1784060908274
sess_1784060899243_x35gd4d,variant_a,cta,769,493,,,0.5252940458409926,0.8569042110008389,1784060909955
sess_1784060899243_x35gd4d,variant_a,products,908,200,,,0.5970541628399294,0.0,1784060912011
sess_1784060899243_x35gd4d,variant_a,cta,726,913,,,0.39882345760569854,0.9042316036018218,1784060915183
sess_1784060975305_kfvr3q5,variant_c,products,441,346,,,0.15693316078798253,0.22619047208913237,1784060976385
sess_1784060975305_kfvr3q5,variant_c,cta,746,481,,,0.4376859104939709,0.8595296799487999,1784060978530
sess_1784060975305_kfvr3q5,variant_c,cta,764,462,,,0.5142588715908187,0.8007425534562761,1784060981042
sess_1784060975305_kfvr3q5,variant_c,products,860,221,,,0.4840724362614386,0.09790640305376218,1784060982642
sess_1784060975305_kfvr3q5,variant_c,products,307,148,,,0.052311053595994174,0.02298850673710598,1784060984351
sess_1784060975305_kfvr3q5,variant_c,products,304,173,,,0.04938271604938271,0.04333272623898718,1784060985095
sess_1784060975305_kfvr3q5,variant_c,products,766,329,,,0.41068080882825275,0.20874383870032204,1784060986346
sess_1784060975305_kfvr3q5,variant_c,cta,779,860,,,0.554705810546875,0.862472139542131,1784060989212
